ID,Label
PL1026,Arik Armstead
PL1027,Marcus Peters
PL1028,Cameron Erving
PL1029,Nelson Agholor
PL1030,Cedric Ogbuehi
PL1031,Bud Dupree
PL1032,Shane Ray
PL1033,D.J. Humphries
PL1034,Shaq Thompson
PL1035,Breshad Perriman
PL1036,Byron Jones
PL1037,Laken Tomlinson
PL1038,Phillip Dorsett
PL1039,Damarious Randall
PL1040,Stephone Anthony
PL1041,Malcom Brown
PL1042,Landon Collins
PL1043,Donovan Smith
PL1044,Mario Edwards
PL1045,T.J. Yeldon
PL1046,Devin Smith
PL1047,Preston Smith
PL1048,Eddie Goldman
PL1049,Dorial Green-Beckham
PL1050,Devin Funchess
PL1051,Jalen Collins
PL1052,Benardrick McKinney
PL1053,Hau'oli Kikaha
PL1054,Eric Kendricks
PL1055,Jaquiski Tartt
PL1056,Eric Rowe
PL1057,Denzel Perryman
PL1058,Mitch Morse
PL1059,Ronald Darby
PL1060,Nate Orchard
PL1061,Jordan Phillips
PL1062,Jake Fisher
PL1063,Ameer Abdullah
PL1064,Maxx Williams
PL1065,Senquez Golson
PL1066,Rob Havenstein
PL1067,Markus Golden
PL1068,Ty Sambrailo
PL1069,Randy Gregory
PL1070,Ali Marpet
PL1071,Quinten Rollins
PL1072,Frank Clark
PL1073,Jordan Richards
PL1074,D'Joun Smith
PL1075,Jeremiah Poutasi
PL1076,A.J. Cann
PL1077,Clive Walford
PL1078,Tyler Lockett
PL1079,Jaelen Strong
PL1080,Hroniss Grasu
PL1081,Jamon Brown
PL1082,Tevin Coleman
PL1083,Owamagbe Odighizuwa
PL1084,Garrett Grayson
PL1085,Chris Conley
PL1086,Duke Johnson
PL1087,P.J. Williams
PL1088,Eli Harold
PL1089,Alex Carter
PL1090,John Miller
PL1091,Lorenzo Mauldin
PL1092,Craig Mager
PL1093,Jordan Hicks
PL1094,Tyler Kroft
PL1095,David Johnson
PL1096,Sammie Coates
